meal_description,carb,protein,fat,energy
region pt 100g Oleo de soja,0.0,0.0,98.5,887
region pt 100g Oleos de milho,0.0,0.0,99.5,896
region pt 100g Omelete,0.2,12.0,9.5,136
region pt 100g Omelete com manteiga,0.0,13.0,16.3,199
region pt 100g Omelete com margarina,0.0,13.0,16.2,198
region pt 100g Oregao seco,26.4,9.0,4.3,265
region pt 100g Orelha de porco crua,0.3,26.0,2.5,128
region pt 100g Ostra crua,3.9,8.6,1.7,65
region pt 100g Ovas de bacalhau cruas,0.0,21.7,1.9,104
region pt 100g Ovas de pescada cruas,0.0,14.3,2.9,83
region pt 100g Ovo de codorniz cru,0.4,12.9,10.7,150
region pt 100g Ovo de galinha inteiro cru,0.5,12.6,10.1,143
region pt 100g Ovo de galinha liquido pasteurizado,0.0,11.9,9.3,131
region pt 100g Ovo de galinha cozido,0.0,13.0,10.8,149
region pt 100g Ovo de galinha escalfado,0.0,13.0,10.9,150
region pt 100g Ovo de galinha estrelado,0.0,13.7,15.4,193
region pt 100g Ovo de galinha estrelado com azeite,0.0,13.8,15.1,191
region pt 100g Ovo de galinha estrelado com manteiga,0.0,13.7,15.5,194
region pt 100g Ovo de galinha estrelado com margarina,0.0,13.7,15.5,194
region pt 100g Ovo de galinha mexido com manteiga,0.0,13.0,16.1,197
region pt 100g Ovo de galinha mexido com margarina,0.0,13.0,16.0,196
region pt 100g Ovo mexido com leite e margarina,0.9,11.0,18.3,213
region pt 100g Pa de carneiro assada sem molho,0.0,25.1,11.3,202
region pt 100g Pa de carneiro assada com azeite e margarina,0.0,24.3,24.6,319
region pt 100g Pa de carneiro assada com margarina,0.0,24.3,23.6,310
region pt 100g Pa de carneiro cozida,0.0,27.6,14.2,238
region pt 100g Pa de carneiro crua,0.0,20.5,12.6,195
region pt 100g Pa de carneiro estufada sem molho,0.0,27.6,14.2,238
region pt 100g Pa de vitela crua,0.3,23.3,4.9,138
region pt 100g Paio de lombo,0.0,29.2,19.0,288
region pt 100g Paio de lombo entremeado,0.0,22.8,30.0,361
region pt 100g Pao de centeio,56.4,5.9,0.8,268
region pt 100g Pao de centeio integral,41.3,7.7,2.1,229
region pt 100g Pao de forma de trigo com passas,58.3,8.3,2.0,291
region pt 100g Pao de forma de trigo enriquecido,54.5,8.7,2.7,284
region pt 100g Pao de leite ,51.4,7.7,1.9,259
region pt 100g Pao de lo,62.2,9.6,8.0,361
region pt 100g Pao de milho,37.2,5.3,1.2,188
region pt 100g Pao de mistura de trigo e centeio,53.8,9.0,1.4,272
region pt 100g Pao de trigo,57.3,8.4,2.2,290
region pt 100g Pao de trigo integral,39.9,7.6,3.0,232
region pt 100g Pao de trigo integral com passas,44.0,7.4,2.6,247
region pt 100g Pao de trigo integral com sementes de sesamo,43.2,7.7,4.0,256
region pt 100g Pao de trigo integral com soja,38.2,9.4,2.8,233
region pt 100g Pao do coracao ,51.0,7.0,1.2,248
region pt 100g Pao pita,42.7,7.7,1.1,218
region pt 100g Pao ralado,71.6,11.2,2.3,359
region pt 100g Papaia,9.1,0.6,0.1,45
region pt 100g Papaia desidratada,73.3,4.8,0.8,361
region pt 100g Pargo legitimo assado com cebola tomate e azeite,1.4,15.9,6.7,136
region pt 100g Pargo legitimo cozido,0.0,19.8,0.3,82
region pt 100g Pargo legitimo cru,0.0,19.4,0.2,79
region pt 100g Pargo mulato assado com cebola tomate e azeite,1.4,15.2,7.1,137
region pt 100g Pargo mulato cozido,0.0,19.0,1.0,85
region pt 100g Pargo mulato cru,0.0,18.5,0.7,80
region pt 100g Pasta de figado de aves  caseira ,4.6,27.0,17.6,289
region pt 100g Pasta de figado de porco ,3.2,10.0,34.5,363
region pt 100g Pastel de bacalhau,12.3,13.8,13.4,227
region pt 100g Pastel de feijao,52.0,6.8,9.4,322
region pt 100g Pastel de nata,48.5,2.9,10.2,299
region pt 100g Pastel folhado,37.4,7.1,26.0,415
region pt 100g Pastilha elastica,75.1,6.9,0.0,328
region pt 100g Pato com pele assado sem molho,0.0,18.5,30.3,347
region pt 100g Pato com pele cru,0.0,12.3,38.3,394
region pt 100g Pato sem pele assado com margarina,0.0,36.2,14.6,276
region pt 100g Pato sem pele cru,0.0,19.3,6.2,133
region pt 100g Pato sem pele estufado com margarina,0.0,27.2,13.7,232
region pt 100g Pe de porco cru,0.0,38.0,20.4,335
region pt 100g Peito de cabrito cru,0.0,20.5,3.8,116
region pt 100g Peito de cabrito estufado com azeite e margarina,0.8,23.3,8.4,173
region pt 100g Peito de cabrito estufado com azeite e oleo alimentar,0.7,23.3,8.8,176
region pt 100g Peito de cabrito estufado com manteiga e oleo alimentar,0.8,23.3,8.4,173
region pt 100g Peito de cabrito estufado com margarina e oleo alimentar,0.8,23.3,8.4,173
region pt 100g Peito de cabrito estufado sem molho,0.0,28.4,4.4,153
region pt 100g Peito de cabrito grelhado,0.0,26.5,4.2,144
region pt 100g Peito de carneiro gordo cozido,0.0,23.3,26.6,333
region pt 100g Peito de carneiro gordo cru,0.0,16.8,36.5,396
region pt 100g Peito de frango com pele cozido,0.0,32.1,7.3,194
region pt 100g Peito de frango com pele cru,0.0,24.1,8.9,177
region pt 100g Peito de frango com pele estufado com azeite e margarina,1.7,22.1,10.3,189
region pt 100g Peito de frango com pele estufado com margarina,1.7,22.1,10.0,187
region pt 100g Peito de frango com pele estufado sem molho,0.0,34.4,8.3,212
region pt 100g Peito de frango sem pele cozido,0.0,34.5,1.1,148
region pt 100g Peito de frango sem pele cru,0.0,24.1,1.2,108
region pt 100g Peito de frango sem pele estufado com azeite e margarina ,1.7,21.4,3.3,124
region pt 100g Peito de frango sem pele estufado com margarina,1.7,21.4,3.0,121
region pt 100g Peito de frango sem pele estufado sem molho,0.0,36.6,2.5,169
region pt 100g Peito de peru com pele cru,0.0,23.0,4.7,134
region pt 100g Peito de peru com pele estufado com margarina,1.3,23.1,7.1,163
region pt 100g Peito de peru sem pele assado com margarina,0.1,28.9,6.4,175
region pt 100g Peito de peru sem pele cru,0.0,23.4,1.3,105
region pt 100g Peito de peru sem pele panado,8.4,25.5,9.9,226
region pt 100g Peito de vitela magro cozido,0.0,24.8,8.0,171
region pt 100g Peito de vitela magro cru,0.0,19.6,7.6,147
region pt 100g Peito de vitela magro estufado,0.6,22.9,12.6,208
region pt 100g Peito de vitela magro estufado com azeite e margarina,0.6,22.9,12.6,208
region pt 100g Peito de vitela magro estufado com azeite margarina e oleo alimentar,0.6,22.9,12.6,208
region pt 100g Peito de vitela magro estufado com margarina e oleo alimentar,0.6,22.9,12.6,208
region pt 100g Peito de vitela magro estufado sem molho,0.0,26.0,8.3,179
region pt 100g Peixe-espada-branco cru,0.0,20.3,4.0,117
region pt 100g Peixe-espada-branco frito,2.9,22.7,6.3,159
region pt 100g Peixe-espada-branco grelhado,0.0,20.2,4.7,123
region pt 100g Peixe-espada-preto cru,0.0,15.7,2.8,88
region pt 100g Peixe-espada-preto frito,3.2,24.2,16.6,259
region pt 100g Peixe-espada-preto grelhado,0.0,20.5,3.2,111
region pt 100g Peixinhos da horta,14.9,4.0,1.4,94
region pt 100g Pepino cru,1.7,1.4,0.6,19
region pt 100g Pera ,9.4,0.3,0.4,47
region pt 100g Pera conserva em calda de acucar,28.9,0.2,0.3,121
region pt 100g Pera cozida com acucar,14.5,0.3,0.4,67
region pt 100g Pera cozida sem acucar,7.8,0.3,0.4,40
region pt 100g Pera cristalizada,69.8,0.2,0.1,285
region pt 100g Pera desidratada,59.9,1.9,2.6,300
region pt 100g Percebes crus,0.0,13.6,0.5,59
region pt 100g Perdiz crua,0.0,23.0,1.3,104
region pt 100g Perdiz estufada com margarina,0.7,24.7,11.4,212
region pt 100g Perna de borrego no forno,0.4,21.9,7.6,168
region pt 100g Perna de cabrito assada com azeite e margarina,0.2,21.7,10.0,180
region pt 100g Perna de cabrito assada com oleo alimentar e margarina,0.2,21.7,10.0,180
region pt 100g Perna de cabrito assada sem molho,0.0,24.3,4.2,135
region pt 100g Perna de cabrito crua,0.0,19.3,4.0,113
region pt 100g Perna de carneiro gorda assada sem molho,0.0,24.3,20.9,285
region pt 100g Perna de carneiro gorda crua,0.0,19.1,22.2,276
region pt 100g Perna de carneiro gorda estufada sem molho,0.0,26.5,25.9,339
region pt 100g Perna de carneiro magra assada com azeite e margarina,0.0,23.5,16.4,242
region pt 100g Perna de carneiro magra assada com margarina,0.0,23.5,15.3,232
region pt 100g Perna de carneiro magra assada sem molho,0.0,24.2,9.0,178
region pt 100g Perna de carneiro magra crua,0.0,19.8,5.6,130
region pt 100g Perna de carneiro magra estufada com azeite e margarina,1.7,17.4,13.4,201
region pt 100g Perna de carneiro magra estufada com margarina,1.7,17.4,12.5,193
region pt 100g Perna de carneiro magra estufada sem molho,0.0,25.6,10.3,195
region pt 100g Perna de frango sem pele cozida,0.0,31.5,2.3,147
region pt 100g Perna de frango sem pele crua,0.0,22.0,2.6,111
region pt 100g Perna de frango sem pele estufada com azeite e margarina,1.6,19.1,4.4,124
region pt 100g Perna de frango sem pele estufada com margarina ,1.6,19.1,4.1,121
region pt 100g Perna de frango sem pele estufada sem molho,0.0,32.9,5.4,180
region pt 100g Perna de peru com pele assada com margarina,0.0,24.4,12.5,212
region pt 100g Perna de peru com pele crua,0.0,18.9,8.1,149
region pt 100g Perna de peru com pele estufada com margarina,1.3,19.1,9.7,170
region pt 100g Perna de porco gorda assada com azeite e margarina,0.2,22.4,28.2,353
region pt 100g Perna de porco gorda assada com margarina,0.2,22.4,27.6,347
region pt 100g Perna de porco gorda assada com oleo alimentar e margarina,0.2,22.4,28.2,353
region pt 100g Perna de porco gorda assada sem molho,0.0,27.6,19.2,283
region pt 100g Perna de porco gorda crua,0.0,18.1,18.5,239
region pt 100g Perna de porco gorda grelhada,0.0,25.5,20.6,287
region pt 100g Perna de porco magra assada com azeite e margarina,0.2,26.0,14.6,245
region pt 100g Perna de porco magra assada com margarina,0.2,26.0,14.0,239
region pt 100g Perna de porco magra assada com oleo alimentar e margarina,0.2,26.0,14.5,244
region pt 100g Perna de porco magra assada sem molho,0.0,31.0,9.9,213
region pt 100g Perna de porco magra crua,0.0,21.0,7.5,152
region pt 100g Perna de porco magra estufada com azeite e banha,0.7,22.4,11.9,206
region pt 100g Perna de porco magra estufada com azeite e margarina,0.7,22.4,11.6,203
region pt 100g Perna de porco magra estufada com margarina,0.7,22.4,11.1,198
region pt 100g Perna de porco magra estufada com oleo alimentar e banha,0.7,22.4,11.9,206
region pt 100g Perna de porco magra estufada sem molho,0.0,28.6,11.0,213
region pt 100g Perna de porco magra grelhada,0.0,27.5,11.7,215
region pt 100g Peru inteiro com pele cru,0.0,20.5,6.1,137
region pt 100g Pescada cozida ,0.0,19.2,3.6,109
region pt 100g Pescada crua ,0.0,17.6,1.4,83
region pt 100g Pescada da Africa do Sul cozida,0.0,18.9,3.8,110
region pt 100g Pescada da Africa do Sul crua,0.0,17.2,1.3,81
region pt 100g Pescada da Africa do Sul frita,1.7,23.2,8.4,175
region pt 100g Pescada do Chile cozida,0.0,19.5,3.3,108
region pt 100g Pescada do Chile crua,0.0,18.0,1.5,86
region pt 100g Pescada do Chile frita,2.6,20.3,8.8,171
region pt 100g Pescada europeia cozida,0.0,20.1,3.7,114
region pt 100g Pescada europeia crua,0.0,17.0,0.8,75
region pt 100g Pescada europeia frita,1.4,21.7,7.9,164
region pt 100g Pescada frita ,2.1,21.7,8.6,173
region pt 100g Pessego ,8.1,0.6,0.3,44
region pt 100g Pessego conserva em calda de acucar,20.6,0.2,0.1,86
region pt 100g Picanha grelhada,0.0,21.7,11.9,194
region pt 100g Picles de pepino,16.5,0.5,0.5,74
region pt 100g Pimenta branca,48.3,10.4,2.1,306
region pt 100g Pimenta moida,38.3,10.7,2.7,273
region pt 100g Pimenta preta,44.5,10.7,3.3,302
region pt 100g Pimento cru,2.7,1.6,0.6,27
region pt 100g Pimento grelhado,3.7,2.7,0.6,37
region pt 100g Pinhao miolo,5.0,33.2,51.7,622
region pt 100g Pistacio torrado e salgado,12.6,18.0,53.0,616
region pt 100g Pistacio torrado sem sal,12.6,18.0,53.0,616
region pt 100g Pizza de queijo e tomate,33.2,10.5,10.1,271
region pt 100g Pizza de queijo tomate e fiambre,29.2,11.7,12.5,281
region pt 100g Po achocolatado com alto teor de gordura,70.6,12.0,10.6,428
region pt 100g Po achocolatado com baixo teor de gordura,86.2,6.5,2.5,395
region pt 100g Polvo cozido sem sal,0.0,22.7,1.3,103
region pt 100g Polvo cru,0.0,15.6,1.2,73
region pt 100g Pombo cru,0.0,20.3,16.7,232
region pt 100g Pota crua,0.0,16.3,1.1,75
region pt 100g Preparado fermentado a base de soja ,5.9,3.0,2.4,59
region pt 100g Presunto,0.0,25.0,12.8,215
region pt 100g Proteina texturizada de soja,17.2,53.0,1.4,327
region pt 100g Pudim de leite e ovos,44.8,6.1,4.7,246
region pt 100g Pudim flan caseiro,36.3,6.2,4.5,211
region pt 100g Pudim instantaneo em po,79.4,2.0,9.4,412
region pt 100g Pudim instantaneo preparado com leite magro,18.3,3.2,1.9,104
region pt 100g Pudim instantaneo preparado com leite meio gordo,18.3,3.1,3.0,113
region pt 100g Pulmoes de porco crus,0.2,13.9,5.0,101
region pt 100g Pure de batata,16.8,2.3,5.2,126
region pt 100g Queijada de queijo fresco,56.7,7.5,4.7,301
region pt 100g Queijada de queijo magro,55.4,6.7,4.7,292
region pt 100g Queijada de requeijao,40.8,7.2,13.1,311
region pt 100g Queijo Amarelo da Beira Baixa,1.5,20.5,30.0,361
region pt 100g Queijo Brie,0.0,18.8,27.3,321
region pt 100g Queijo Camembert,0.2,19.2,19.6,254
region pt 100g Queijo Cheddar,0.1,25.4,34.9,419
region pt 100g Queijo creme para barrar,6.9,9.3,22.0,263
region pt 100g Queijo creme para barrar alto teor polinsaturados,6.9,9.3,22.0,263
region pt 100g Queijo de Azeitao,2.6,19.5,27.5,339
region pt 100g Queijo de cabra Pure chevre,2.0,13.0,25.0,286
region pt 100g Queijo de cabra atabafado curado,2.7,18.2,24.0,313
region pt 100g Queijo de cabra atabafado fresco,2.5,13.0,15.4,202
region pt 100g Queijo de cabra curado,2.5,21.0,30.5,382
region pt 100g Queijo de Castelo Branco,1.8,20.8,29.2,356
region pt 100g Queijo de Evora,2.1,23.8,32.9,405
region pt 100g Queijo de mistura ,2.4,19.6,26.7,329
region pt 100g Queijo de Nisa,2.6,23.4,38.0,451
region pt 100g Queijo de ovelha curado,2.4,22.8,33.0,401
region pt 100g Queijo de ovelha amanteigado,1.6,19.7,30.3,361
region pt 100g Queijo de vaca curado,1.2,22.3,29.0,355
region pt 100g Queijo de vaca curado magro,2.4,27.1,10.0,208
region pt 100g Queijo de vaca curado meio gordo,1.7,23.0,20.1,280
region pt 100g Queijo de vaca amanteigado,1.7,20.2,28.3,343
region pt 100g Queijo Emmental,0.0,28.9,29.7,384
region pt 100g Queijo flamengo,0.8,22.7,28.3,349
region pt 100g Queijo flamengo light ,0.0,26.8,13.3,228
region pt 100g Queijo fresco acucarado com sabor a fruta,11.6,7.3,3.6,110
region pt 100g Queijo fresco de cabra,2.1,12.0,13.8,182
region pt 100g Queijo fresco de ovelha,3.9,11.3,15.6,204
region pt 100g Queijo fresco magro,6.9,13.0,1.8,96
region pt 100g Queijo fresco meio gordo,2.7,9.2,11.9,156
region pt 100g Queijo fundido 40% gordura,0.2,22.5,25.7,326
region pt 100g Queijo Gouda,0.0,25.3,30.6,380
region pt 100g Queijo Gruyere,1.4,27.2,33.3,415
region pt 100g Queijo Mascarpone,0.3,7.6,47.0,458
region pt 100g Queijo Mestico de Tolosa,1.8,24.5,33.0,407
region pt 100g Queijo Mozzarella fresco,1.3,18.7,19.5,256
region pt 100g Queijo Parmesao,0.1,37.7,27.8,406
region pt 100g Queijo Quark acucarado magro com sabor a fruta,10.8,8.4,0.1,78
region pt 100g Queijo Quark natural magro,4.0,10.3,0.3,60
region pt 100g Queijo Quark natural meio gordo,3.9,8.1,8.5,125
region pt 100g Queijo Raclette,0.4,25.5,27.8,354
region pt 100g Queijo Roquefort,0.2,22.0,31.5,372
region pt 100g Queijo Sao Jorge,2.5,26.6,32.5,409
region pt 100g Queijo Serpa,2.4,22.0,30.5,375
region pt 100g Queijo Serra da Estrela,2.0,23.8,24.0,324
region pt 100g Queijo Serra da Estrela velho,0.2,25.5,31.5,389
region pt 100g Queque,53.8,6.7,18.2,408
region pt 100g Quiabo cru,3.1,2.8,1.0,37
region pt 100g Quiche de espinafres,12.4,12.6,19.1,275
region pt 100g Quiche de vegetais,12.9,11.9,22.2,302
region pt 100g Quiche lorraine,23.5,14.4,24.5,374
region pt 100g Quivi Kiwi,10.9,1.1,0.5,60
region pt 100g Quivi Kiwi desidratado,60.6,6.1,2.8,333
region pt 100g Rabanada,31.3,4.7,16.6,294
region pt 100g Rabanete cru,1.9,1.0,0.2,15
region pt 100g Rabano cru,10.7,6.0,0.7,88
region pt 100g Raia crua,0.0,14.1,0.2,58
region pt 100g Rancho com carne de galinha porco e vaca,6.5,5.1,3.9,84
region pt 100g Rancho com carne de porco,6.8,4.8,6.2,107
region pt 100g Rebentos de alfalfa crus,0.3,4.0,0.7,29
region pt 100g Rebentos de bambu crus,1.4,3.1,0.3,22
region pt 100g Rebentos de soja crus,5.8,9.2,3.9,98
region pt 100g Rebucados,95.0,0.3,0.0,381
region pt 100g Requeijao de cabra,3.4,10.7,15.5,197
region pt 100g Requeijao de mistura ,3.7,7.8,10.0,136
region pt 100g Requeijao de mistura ,4.9,13.6,11.7,179
region pt 100g Requeijao de ovelha,3.8,11.0,20.6,246
region pt 100g Requeijao de vaca,5.8,8.0,10.4,149
region pt 100g Rim de carneiro cru,0.0,16.2,3.0,92
region pt 100g Rim de carneiro frito com margarina,0.0,22.3,12.9,205
region pt 100g Rim de porco cru,0.0,17.0,3.0,95
region pt 100g Rim de porco frito com margarina,0.0,23.6,12.4,206
region pt 100g Rim de vaca cru,0.0,18.0,2.2,92
region pt 100g Rissol,31.8,7.3,13.4,280
region pt 100g Rissol de camarao,26.6,6.1,8.6,211
region pt 100g Rissol de carne com manteiga,19.8,7.3,14.1,238
region pt 100g Rissol de carne com margarina,19.7,7.3,13.9,236
region pt 100g Robalo assado com cebola azeite banha e manteiga,0.6,20.4,11.8,192
region pt 100g Robalo cozido,0.0,21.0,10.9,182
region pt 100g Robalo cru,0.0,18.5,3.5,106
region pt 100g Robalo grelhado,0.0,23.0,13.0,209
region pt 100g Rojoes de carne gorda,0.8,14.9,19.0,244
region pt 100g Rojoes de carne magra,8.7,11.1,5.6,140
region pt 100g Roma,12.0,0.4,0.4,60
region pt 100g Rucula crua,2.2,2.6,0.7,29
region pt 100g Safio cru,0.0,17.7,4.2,109
region pt 100g Sal,0.0,0.0,0.0,0
region pt 100g Salada de alface e tomate temperada com azeite e vinagre,2.6,1.1,1.4,30
region pt 100g Salada de atum,8.4,6.9,4.3,104
region pt 100g Salada de bacalhau com grao,7.6,8.7,4.9,115
region pt 100g Salada russa,5.6,1.4,9.3,116
region pt 100g Salame,1.3,19.5,37.6,422
region pt 100g Salicornia fresca,1.1,0.7,0.2,14
region pt 100g Salmao cozido,0.0,20.7,21.1,273
region pt 100g Salmao cru,0.0,16.2,21.9,262
region pt 100g Salmao grelhado,0.0,23.8,23.7,309
region pt 100g Salmonete cru,0.1,21.7,5.5,136
region pt 100g Salpicao,0.0,20.5,36.7,412
region pt 100g Salsa fresca,0.4,3.1,0.0,20
region pt 100g Salsa seca,14.5,15.8,7.0,244
region pt 100g Salsicha de soja,0.6,13.5,20.9,252
region pt 100g Salsicha fresca crua,0.0,15.5,16.4,210
region pt 100g Salsicha fresca estufada com couve e azeite,1.1,7.2,11.6,140
region pt 100g Salsicha fresca estufada com legumes e azeite,3.7,5.9,8.9,121
region pt 100g Salsicha tipo Frankfurt,2.4,9.0,14.7,178
region pt 100g Salsicha tipo Frankfurt frita  sem adicao de sal,2.8,10.2,16.5,201
region pt 100g Salsicha tipo Frankfurt grelhada sem adicao de sal,3.2,12.0,16.7,211
region pt 100g Sangue de porco cru,0.4,16.6,0.4,72
region pt 100g Sapateira crua,0.0,19.5,2.9,104
region pt 100g Sarda cozida,0.0,19.7,10.6,174
region pt 100g Sarda crua,0.0,19.0,11.7,181
region pt 100g Sarda grelhada,0.0,22.5,11.2,191
region pt 100g Sardinha frita,8.7,22.5,19.4,300
region pt 100g Sardinha gorda crua,0.0,18.4,16.4,221
region pt 100g Sardinha gorda frita,3.5,23.0,15.6,247
region pt 100g Sardinha gorda grelhada,0.0,25.0,12.3,211
region pt 100g Sardinha meio gorda conserva em agua sem espinha e sem pele,0.0,22.0,9.6,174
region pt 100g Sardinha meio gorda conserva em azeite,0.0,24.0,12.0,204
region pt 100g Sardinha meio gorda conserva em azeite ,0.0,26.3,9.0,186
region pt 100g Sardinha meio gorda crua,0.0,18.9,9.1,158
region pt 100g Sardinha meio gorda frita,0.5,20.0,10.2,174
region pt 100g Sardinha meio gorda grelhada,0.0,25.9,7.2,168
region pt 100g Seitan,5.4,25.0,1.7,139
region pt 100g Sementes de abobora cruas secas miolo,10.0,22.0,46.4,567
region pt 100g Sementes de canhamo secas,2.4,29.5,27.9,424
region pt 100g Sementes de chia,4.6,14.4,34.4,456
region pt 100g Sementes de coentro,16.2,12.4,17.8,358
region pt 100g Sementes de girassol cruas secas miolo,8.3,22.1,48.5,585
region pt 100g Sementes de linhaca cruas,18.1,25.0,31.0,487
region pt 100g Sementes de melao,9.0,28.5,47.7,590
region pt 100g Sementes de mostarda,15.9,25.5,28.8,449
region pt 100g Sementes de papoila,13.7,19.3,45.9,565
region pt 100g Sementes de sesamo,6.4,22.1,55.0,620
region pt 100g Semola de milho,73.8,8.8,1.1,350
region pt 100g Shortening para pastelaria,0.0,0.0,97.5,878
region pt 100g Shortening para restaurante,0.0,0.0,100.0,900
region pt 100g Sidra ,2.3,0.0,0.0,48
region pt 100g Sobremesa a base de soja,15.8,3.5,1.8,95
region pt 100g Soja cozida sem sal,5.6,12.5,7.5,151
region pt 100g Soja farinha com baixo teor de gordura,21.8,44.0,2.6,314
region pt 100g Soja grao seco cru,18.3,32.8,19.3,407
region pt 100g Solha crua,0.0,19.0,1.6,90
region pt 100g Solha frita,8.9,23.0,2.0,147
region pt 100g Solha grelhada,0.0,21.9,1.8,104
region pt 100g Sonhos,29.2,8.7,26.2,389
region pt 100g Sopa a lavrador,7.6,1.2,1.5,51
region pt 100g Sopa de abobora,4.0,0.6,1.5,33
region pt 100g Sopa de agriao,4.2,1.0,1.6,37
region pt 100g Sopa de agriao com leite,5.3,1.3,0.5,33
region pt 100g Sopa de agriao com requeijao,2.0,1.1,1.6,28
region pt 100g Sopa de carne de porco,7.3,4.0,0.9,60
region pt 100g Sopa de cebola,5.4,0.8,1.5,40
region pt 100g Sopa de cenoura,4.4,0.9,0.6,29
region pt 100g Sopa de couve-branca,5.4,0.8,1.5,40
region pt 100g Sopa de couve-lombarda,5.3,0.9,1.5,41
region pt 100g Sopa de cozido,2.9,2.6,1.4,36
region pt 100g Sopa de ervilhas,6.4,1.6,1.5,48
region pt 100g Sopa de espinafres,4.8,1.0,1.6,39
region pt 100g Sopa de espinafres com ovos,4.7,2.5,6.9,93
region pt 100g Sopa de favas,6.4,1.8,1.5,49
region pt 100g Sopa de feijao,4.1,2.5,2.1,51
region pt 100g Sopa de feijao-branco com couve-portuguesa,4.9,2.5,1.3,47
region pt 100g Sopa de feijao-manteiga,8.7,1.2,0.4,46
region pt 100g Sopa de feijao-manteiga com couve-lombarda,3.5,2.1,1.8,43
region pt 100g Sopa de feijao-verde,3.5,0.7,1.5,32
region pt 100g Sopa de feijao-verde e cenoura,5.8,0.9,1.5,42
region pt 100g Sopa de feijao-verde e nabo,3.4,0.7,1.9,36
region pt 100g Sopa de grao a moda da avo,15.1,4.7,2.3,107
region pt 100g Sopa de grao com arroz espinafres e coentros,5.3,2.1,1.3,45
region pt 100g Sopa de grao com espinafres ,7.0,2.4,2.1,60
region pt 100g Sopa de grao com espinafres sem arroz,5.1,2.6,2.3,55
region pt 100g Sopa de nabicas ,5.8,1.0,1.2,40
region pt 100g Sopa de peixe ,1.3,1.3,0.6,17
region pt 100g Sopa de peixe com massa,5.8,2.8,1.1,46
region pt 100g Sopa de tomate,4.4,1.1,0.8,31
region pt 100g Sopa de vegetais,1.2,0.8,0.2,11
region pt 100g Sopa juliana,4.3,0.9,0.9,31
region pt 100g Sopa caldo verde,5.3,1.3,1.7,43
region pt 100g Sopa canja de galinha,5.8,2.0,0.9,40
region pt 100g Sopa creme de cenoura,4.4,0.6,1.4,34
region pt 100g Sopa pure de feijao,4.5,1.6,1.6,43
region pt 100g Sopa pure de vegetais,5.5,1.0,1.5,42
region pt 100g Sucedaneo de cafe ,81.0,5.0,3.4,375
region pt 100g Sucedaneo de cafe  com 20% de cafe,77.0,6.5,2.8,359
region pt 100g Sultanas,69.4,2.7,0.4,304
region pt 100g Sumo de ananas 100%,9.5,0.2,0.1,42
region pt 100g Sumo de ananas concentrado,64.7,0.0,0.0,265
region pt 100g Sumo de laranja 100% ,9.5,0.3,0.1,42
region pt 100g Sumo de laranja concentrado,64.9,0.1,0.7,272
region pt 100g Sumo de limao fresco ,1.5,0.3,0.0,25
region pt 100g Sumo de maca 100%,9.9,0.1,0.1,43
region pt 100g Sumo de pessego 100%,11.5,0.2,0.1,50
region pt 100g Sumo de tomate 100%,3.5,1.1,0.0,21
region pt 100g Tahini ,11.6,18.5,58.9,661
region pt 100g Tamara fresca ,33.2,1.2,0.1,147
region pt 100g Tamara seca,67.3,2.5,0.3,298
region pt 100g Tamarilho sem pele,4.6,2.0,0.3,34
region pt 100g Tamarindo cru,54.9,2.3,0.3,242
region pt 100g Tamboril cru,0.0,17.9,0.2,73
region pt 100g Tamboril grelhado,0.0,21.4,0.3,88
region pt 100g Tangera,7.8,0.7,0.1,41
region pt 100g Tangerina,8.7,0.7,0.1,44
region pt 100g Tapioca,87.5,0.3,0.2,356
region pt 100g Tarte de maca,29.3,1.8,8.0,200
region pt 100g Tarte de maca e pessego,36.7,4.4,6.2,224
region pt 100g Tisana infusao de ervas,0.2,0.0,0.0,1
region pt 100g Tofu frito com azeite,1.1,8.7,7.6,108
region pt 100g Tofu frito com oleo de milho,1.1,8.7,7.6,108
region pt 100g Tofu simples,0.7,8.5,4.4,77
region pt 100g Tomate cherry cru,4.0,1.0,0.8,30
region pt 100g Tomate concentrado,14.3,3.7,0.3,82
region pt 100g Tomate cru,3.5,0.8,0.3,23
region pt 100g Tomate em conserva ao natural,3.2,1.0,0.3,21
region pt 100g Tomilho fresco,7.4,1.5,1.2,52
region pt 100g Tomilho seco,45.3,9.1,7.4,321
region pt 100g Toranja,6.0,0.9,0.1,36
region pt 100g Torta de chocolate e chantilly,29.6,8.0,23.9,369
region pt 100g Tosta de trigo,69.7,12.5,4.2,377
region pt 100g Tosta de trigo integral,62.6,15.4,5.1,373
region pt 100g Tosta de trigo sem sal,72.7,11.3,3.8,379
region pt 100g Tosta de trigo simples,72.7,11.3,3.8,379
region pt 100g Toucinho  de porco entremeado ligeiramente salgado cozido sem adicao de sal,0.0,16.7,33.9,372
region pt 100g Toucinho de porco entremeado fresco cru,0.0,8.4,72.0,682
region pt 100g Toucinho de porco entremeado fresco grelhado sem adicao de sal,0.0,16.1,67.9,676
region pt 100g Toucinho de porco entremeado ligeiramente salgado cru,0.0,13.7,50.1,506
region pt 100g Toucinho de porco entremeado magro,0.5,17.4,29.1,333
region pt 100g Tremoco cozido sem sal,7.2,16.0,2.4,124
region pt 100g Tremoco cozido e salgado,7.2,16.4,2.4,126
region pt 100g Trigo Sarraceno  cru,61.3,12.4,2.5,337
